Interest Code,Job Zone,Code,Occupation,Featured
ECR,3,51-1011.00,First-Line Supervisors of Production and Operating Workers,
ECS,3,11-9171.00,Funeral Home Managers,Y
ECS,3,41-9022.00,Real Estate Sales Agents,Y
ECR,3,41-4011.07,Solar Sales Representatives and Assessors,Y
ECS,3,11-9179.02,Spa Managers,Y
ECS,3,41-3041.00,Travel Agents,Y
ECR,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",
ECR,3,11-9199.09,Wind Energy Operations Managers,Y
CE,3,13-1041.08,Customs Brokers,Y
CE,3,13-1041.04,Government Property Inspectors and Investigators,Y
CEI,3,33-9021.00,Private Detectives and Investigators,Y
SE,3,39-7011.00,Tour Guides and Escorts,Y
ECA,4,11-2011.00,Advertising and Promotions Managers,
ECA,4,41-3011.00,Advertising Sales Agents,
ESC,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Y
ECR,4,11-3051.03,Biofuels Production Managers,
ECI,4,13-1199.04,Business Continuity Planners,
ECR,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products",
ECS,4,11-3111.00,Compensation and Benefits Managers,
ECR,4,11-9021.00,Construction Managers,Y
ECI,4,11-9161.00,Emergency Management Directors,
ECR,4,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",
ECS,4,13-1041.03,Equal Opportunity Representatives and Officers,Y
ERC,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",
EC,4,11-3031.00,Financial Managers,Y
ECS,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,
ESC,4,13-1131.00,Fundraisers,Y
ECS,4,11-2033.00,Fundraising Managers,
EC,4,11-1021.00,General and Operations Managers,Y
ECS,4,11-3121.00,Human Resources Managers,Y
ECS,4,13-1071.00,Human Resources Specialists,Y
ECR,4,11-3051.00,Industrial Production Managers,
ECI,4,15-1299.09,Information Technology Project Managers,Y
ECS,4,41-3021.00,Insurance Sales Agents,Y
ECS,4,13-1075.00,Labor Relations Specialists,
ESC,4,11-1031.00,Legislators,
ECS,4,11-9081.00,Lodging Managers,
ECI,4,13-1161.00,Market Research Analysts and Marketing Specialists,
EC,4,11-2021.00,Marketing Managers,Y
ECA,4,27-2012.03,Media Programming Directors,Y
ECR,4,27-2012.05,Media Technical Directors/Managers,
ECS,4,11-9111.00,Medical and Health Services Managers,
ECS,4,13-1121.00,"Meeting, Convention, and Event Planners",Y
ECS,4,13-2052.00,Personal Financial Advisors,Y
EC,4,13-1082.00,Project Management Specialists,Y
EC,4,11-9141.00,"Property, Real Estate, and Community Association Managers",
ECS,4,11-2032.00,Public Relations Managers,
EAS,4,27-3031.00,Public Relations Specialists,Y
EC,4,11-3061.00,Purchasing Managers,
EC,4,41-9021.00,Real Estate Brokers,
EC,4,11-9199.01,Regulatory Affairs Managers,
EC,4,41-9031.00,Sales Engineers,
EC,4,11-2022.00,Sales Managers,
EC,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",
EC,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",
ECI,4,13-1161.01,Search Marketing Strategists,Y
EC,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",
EC,4,11-3013.01,Security Managers,
ESC,4,11-9151.00,Social and Community Service Managers,Y
EC,4,11-3071.04,Supply Chain Managers,
EAS,4,27-2012.04,Talent Directors,
ES,4,11-3131.00,Training and Development Managers,Y
EC,4,11-3071.00,"Transportation, Storage, and Distribution Managers",Y
EC,4,11-3031.01,Treasurers and Controllers,
EC,4,11-9199.10,Wind Energy Development Managers,
CE,4,13-1041.00,Compliance Officers,Y

